ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
626|Jikkyou Powerful Pro Yakyuu 3|Konami|Unreleased|1996| |"Jikkyou Powerful Pro Yakyuu 3 is a baseball simulation game that challenges players to lead their team to victory. With improved graphics and gameplay features, this installment delivers a realistic and immersive baseball experience."
627|Jikkyou Powerful Pro Yakyuu 3 '97 Haru|Konami|Unreleased|1997| |"Jikkyou Powerful Pro Yakyuu 3 '97 Haru is a baseball game that captures the excitement of the spring season in the world of professional baseball. Players can enjoy updated rosters and enhanced gameplay mechanics in this installment."
628|Jim Lee's WildC.A.T.S: Covert Action Teams|Playmates Interactive|1995| | |"Jim Lee's WildC.A.T.S: Covert Action Teams is an action-packed game based on the popular comic book series. Players control a team of superheroes as they battle against evil forces in a fast-paced and challenging adventure."
629|Jim Power: The Lost Dimension in 3-D|Electro Brain|1993| | |"Jim Power: The Lost Dimension in 3-D is a platformer game that combines action and puzzle-solving elements. Players guide the protagonist through various levels filled with traps and enemies, uncovering the mysteries of the lost dimension."
630|Jimmy Connors Pro Tennis Tour|Ubisoft|1992|1993| |"Jimmy Connors Pro Tennis Tour is a sports simulation game that allows players to compete in professional tennis tournaments. With realistic gameplay mechanics and challenging AI opponents, this title offers an authentic tennis experience."
631|Jimmy Houston's Bass Tournament U.S.A.•Jissen! Bass Fishing Hisshouhou in USAJP|American Sammy|1995|1995| |"Jimmy Houston's Bass Tournament U.S.A.•Jissen! Bass Fishing Hisshouhou in USAJP is a fishing simulation game that immerses players in the world of competitive bass fishing. With realistic fishing mechanics and tournament gameplay, this title provides an exciting angling experience."
632|Jirou Akagawa: Majotachi no Nemuri|Pack-In-Video|Unreleased|1995| |"Jirou Akagawa: Majotachi no Nemuri is a mystery adventure game based on the works of renowned author Jirou Akagawa. Players unravel intriguing mysteries and solve puzzles in a captivating narrative-driven experience."
633|Jissen Kyoutei|Imagineer|Unreleased|1995| |"Jissen Kyoutei is a horse racing simulation game that allows players to experience the thrill of betting on and racing horses. With realistic race mechanics and strategic wagering options, this title offers an immersive horse racing experience."
634|Jissen Pachi-Slot Hisshouhou|Sammy Corporation|Unreleased|1993| |"Jissen Pachi-Slot Hisshouhou is a pachinko and slot machine simulation game that recreates the excitement of playing these popular gambling machines. Players can enjoy a virtual casino experience with various machines and gameplay modes."
635|Jissen Pachi-Slot Hisshouhou! 2|Sammy Corporation|Unreleased|1994| |"Jissen Pachi-Slot Hisshouhou! 2 is a sequel to the popular pachinko and slot machine simulation game, offering new machines and features for players to enjoy. With enhanced graphics and gameplay, this title delivers an engaging casino experience."
636|Jissen Pachi-Slot Hisshouhou! Classic|Sammy Corporation|Unreleased|1995| |"Jissen Pachi-Slot Hisshouhou! Classic is a collection of classic pachinko and slot machine games that have been faithfully recreated for players to enjoy. With a nostalgic feel and authentic gameplay, this title appeals to fans of traditional casino games."
637|Jissen Pachi-Slot Hisshouhou! Twin|Sammy Corporation|Unreleased|1997| |"Jissen Pachi-Slot Hisshouhou! Twin is a pachinko and slot machine simulation game that offers players the chance to experience double the excitement. With dual machines and unique gameplay features, this title provides a thrilling casino experience."
638|Jissen Pachi-Slot Hisshouhou! Twin Vol. 2|Sammy Corporation|Unreleased|1997| |"Jissen Pachi-Slot Hisshouhou! Twin Vol. 2 is the second installment in the series, featuring new machines and gameplay elements for players to enjoy. With updated content and enhanced features, this title delivers an immersive pachinko and slot machine experience."
639|Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu|Sammy Corporation|Unreleased|1996| |"Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu is a pachinko and slot machine simulation game that showcases the legendary machines from Yamasa Corporation. Players can try their luck on these iconic machines in a virtual casino setting."
640|Jissen Pachinko Hisshouhou! 2|Sammy Corporation|Unreleased|1996||"Jissen Pachinko Hisshouhou! 2 is a pachinko simulation game released in Japan in 1996."
641|Jissen! Mahjong Shinan|ASK|Unreleased|1995||"Jissen! Mahjong Shinan is a mahjong game developed by Syscom and published by ASK in Japan in 1995."
642|Joe & Mac•Joe & Mac: Caveman NinjaEU•Joe & Mac: Tatakae GenshijinJP|Data East (JP and NA)Elite Systems (EU)|1992|1991||"Joe & Mac is a platformer game developed by Data East, released in Japan in 1991 and in North America in 1992."
643|Joe & Mac 2: Lost in the Tropics•Joe & Mac 3: Lost in the TropicsEU•Tatakae Genshijin 3: Shuyaku wa Yappari Joe & MacJP|Data East (JP and NA)Elite Systems (EU)|1994|1994||"Joe & Mac 2: Lost in the Tropics is a platformer game developed by Data East, released in Japan in 1994 and in North America in 1994."
644|John Madden Football•Pro FootballJP|EA Sports|1991|1992||"John Madden Football is a football video game developed by Park Place Productions and published by EA Sports in Japan in 1992."
645|John Madden Football '93•Pro Football '93JP|EA Sports|1992|1993||"John Madden Football '93 is a football video game developed by EA Canada and published by EA Sports in Japan in 1993."
646|JoJo no Kimyou na Bouken|Cobra Team|Unreleased|1993||"JoJo no Kimyou na Bouken is a game based on the manga series JoJo's Bizarre Adventure, developed by Winkysoft and published by Cobra Team in Japan in 1993."
647|Joushou Mahjong Tenpai|Enix|Unreleased|1995||"Joushou Mahjong Tenpai is a mahjong game developed by Game Arts and published by Enix in Japan in 1995."
648|JRA PAT|NTT|Unreleased|1996||"JRA PAT is a horse racing simulation game developed and published by NTT in Japan in 1996."
649|JRA PAT: Wide Baken Taiyou|NTT|Unreleased|1999||"JRA PAT: Wide Baken Taiyou is a horse racing simulation game developed and published by NTT in Japan in 1999."
650|Judge Dredd|Acclaim Entertainment|1995|||"'Judge Dredd' is a video game based on the comic book character, developed by Probe Entertainment and published by Acclaim Entertainment in Japan in 1995."
651|Jumpin' Derby|Naxat Soft|Unreleased|1996||"Jumpin' Derby is a horse racing game developed by KID and published by Naxat Soft in Japan in 1996."
652|The Jungle Book|Virgin Interactive|1994|||"'The Jungle Book' is a platformer game based on the Disney movie, developed by Eurocom and published by Virgin Interactive in Japan in 1994."
653|Jungle no Ouja Tar-chan: Sekai Man'yuu Dai Kakutou no Maki|Bandai|Unreleased|1994||"Jungle no Ouja Tar-chan: Sekai Man'yuu Dai Kakutou no Maki is a game based on the manga and anime series Tar-chan, developed by Kuusou Kagaku and published by Bandai in Japan in 1994."
654|Jungle Strike|Electronic Arts|1995|||"'Jungle Strike' is an action game developed by Gremlin Interactive and published by Electronic Arts in Japan in 1995."
655|Jungle Wars 2: Kodai Mahou Atimos no Nazo|Pony Canyon|Unreleased|1993||"Jungle Wars 2: Kodai Mahou Atimos no Nazo is a strategy game developed by Atelier Double and published by Pony Canyon in Japan in 1993."
656|Jurassic Park|Ocean Software|1993|1994||"'Jurassic Park' is an action game based on the movie, developed and published by Ocean Software in Japan in 1994."
657|Jurassic Park 2: The Chaos Continues|Ocean Software|1995|||"'Jurassic Park 2: The Chaos Continues' is a sequel to the first game, developed and published by Ocean Software in Japan in 1995."
658|Justice League Task Force|Acclaim Entertainment  and  Sunsoft|1995|1995||"'Justice League Task Force' is a fighting game developed by Blizzard Entertainment and published by Acclaim Entertainment  and  Sunsoft in Japan in 1995."
659|Jutei Senki|Enix|Unreleased|1993||"Jutei Senki is a strategy game developed by Tam Tam and published by Enix in Japan in 1993."
660|JWP Joshi Pro Wrestling: Pure Wrestle Queens|Jaleco||1994||"JWP Joshi Pro Wrestling: Pure Wrestle Queens is a wrestling game released in Japan in 1994. It features female wrestlers in a pure wrestling experience."
661|Ka-Blooey•BombuzalJP|Kemco|1992|1990||"Ka-Blooey•BombuzalJP is a puzzle game developed by Kemco. It was released in Japan in 1990 and North America in 1992."
662|Kabuki-chou Reach Mahjong: Toupuusen|Pony Canyon||1994||"Kabuki-chou Reach Mahjong: Toupuusen is a mahjong game developed by Studio Softmov and published by Pony Canyon. It was released in Japan in 1994."
663|Kabuki Rocks|Atlus||1994||"Kabuki Rocks is a game developed by Red Company and published by Atlus. It was released in Japan in 1994."
664|Kachou Kousaku Shima: Super Business Adventure|Yutaka||1993||"Kachou Kousaku Shima: Super Business Adventure is a simulation game developed by Tom Create and published by Yutaka. It was released in Japan in 1993."
665|Kakinoki Shougi|ASCII||1995||"Kakinoki Shougi is a shogi game developed by SAS Sakata and published by ASCII. It was released in Japan in 1995."
666|Kamaitachi no Yoru|Chunsoft||1994||"Kamaitachi no Yoru is a mystery adventure game published by Chunsoft. It was released in Japan in 1994."
667|Kamen Rider|Bandai||1993||"Kamen Rider is a game developed by Sun L and published by Bandai. It was released in Japan in 1993."
668|Kamen Rider SD: Shutsugeki!! Rider Machine|Yutaka||1995||"Kamen Rider SD: Shutsugeki!! Rider Machine is a game published by Yutaka. It was released in Japan in 1995."
669|Kat's Run: Zen-Nippon K Car Senshuken|Atlus||1995||"Kat's Run: Zen-Nippon K Car Senshuken is a racing game developed and published by Atlus. It was released in Japan in 1995."
670|Katou Ichi-Ni-San Kudan Shougi Club|Hect||1997||"Katou Ichi-Ni-San Kudan Shougi Club is a shogi game developed and published by Hect. It was released in Japan in 1997."
671|Kawa no Nushi Tsuri 2|Pack-In-Video||1995||"Kawa no Nushi Tsuri 2 is a fishing game published by Pack-In-Video. It was released in Japan in 1995."
672|Kawasaki Caribbean Challenge|GameTek|1993||| "Kawasaki Caribbean Challenge is a racing game developed by Park Place Productions and published by GameTek. It was released in North America in 1993."
673|Kawasaki Superbike Challenge|Time Warner Interactive|1995||Racing|"Kawasaki Superbike Challenge is a racing game developed by Domark and published by Time Warner Interactive. It was released in North America and PAL region in 1995."
674|Keeper|Bullet-Proof Software||1994||"Keeper is a game developed by Fupac and published by Bullet-Proof Software. It was released in Japan in 1994."
